"SL"|No |Yes|"Sandy loam"|"65682901"|"132365782"
"FS"|No |No |"Fine sand"|"65682816"|"132365481"
"S"|No |Yes|"Sand"|"65682816"|"132365480"
"COS"|No |Yes|"Coarse sand"|"65682919"|"132365846"
"LFS"|No |No |"Loamy fine sand"|"65682919"|"132365847"
"LS"|No |No |"Loamy sand"|"65682919"|"132365848"
"FS"|No |No |"Fine sand"|"65682919"|"132365849"
"S"|No |No |"Sand"|"65682919"|"132365850"
"GR-S"|No |No |"Gravelly sand"|"65682919"|"132365851"
"L"|No |No |"Loam"|"65682938"|"132365913"
"FSL"|No |Yes|"Fine sandy loam"|"65682938"|"132365914"
"SL"|No |No |"Sandy loam"|"65682938"|"132365915"
"LFS"|No |No |"Loamy fine sand"|"65682849"|"132365598"
"FSL"|No |No |"Fine sandy loam"|"65682849"|"132365597"
"SL"|No |Yes|"Sandy loam"|"65682849"|"132365596"
"VFSL"|No |No |"Very fine sandy loam"|"65682805"|"132365448"
"FSL"|No |Yes|"Fine sandy loam"|"65682805"|"132365447"
"L"|No |No |"Loam"|"65682805"|"132365446"
"SL"|No |No |"Sandy loam"|"65682805"|"132365445"
"LS"|No |No |"Loamy sand"|"65682827"|"132365517"
"FSL"|No |Yes|"Fine sandy loam"|"65682827"|"132365516"
"SL"|No |No |"Sandy loam"|"65682827"|"132365515"
"FSL"|No |No |"Fine sandy loam"|"65682930"|"132365885"
"SCL"|No |Yes|"Sandy clay loam"|"65682930"|"132365886"
"CL"|No |No |"Clay loam"|"65682930"|"132365887"
"L"|No |No |"Loam"|"65682930"|"132365888"
"C"|No |No |"Clay"|"65682819"|"132365492"
"SIC"|No |Yes|"Silty clay"|"65682819"|"132365491"
"CL"|No |No |"Clay loam"|"65682819"|"132365490"
"SICL"|No |No |"Silty clay loam"|"65682819"|"132365489"
"SC"|No |No |"Sandy clay"|"65682813"|"132365477"
"C"|No |No |"Clay"|"65682813"|"132365476"
"SIC"|No |Yes|"Silty clay"|"65682813"|"132365475"
"L"|No |No |"Loam"|"65682882"|"132365719"
"FSL"|No |Yes|"Fine sandy loam"|"65682882"|"132365718"
"SL"|No |No |"Sandy loam"|"65682882"|"132365717"
"SC"|No |No |"Sandy clay"|"65682856"|"132365627"
"SCL"|No |No |"Sandy clay loam"|"65682856"|"132365626"
"SICL"|No |No |"Silty clay loam"|"65682856"|"132365625"
"SIC"|No |No |"Silty clay"|"65682856"|"132365624"
"C"|No |No |"Clay"|"65682856"|"132365623"
"CL"|No |Yes|"Clay loam"|"65682856"|"132365622"
"C"|No |No |"Clay"|"65682959"|"132365998"
"CL"|No |Yes|"Clay loam"|"65682959"|"132365999"
"SC"|No |No |"Sandy clay"|"65682959"|"132366000"
"SIC"|No |No |"Silty clay"|"65682959"|"132366001"
"C"|No |No |"Clay"|"65682824"|"132365508"
"SIC"|No |Yes|"Silty clay"|"65682824"|"132365507"
"CL"|No |No |"Clay loam"|"65682824"|"132365506"
"SICL"|No |No |"Silty clay loam"|"65682824"|"132365505"
"SICL"|No |No |"Silty clay loam"|"65682808"|"132365459"
"SIC"|No |No |"Silty clay"|"65682808"|"132365458"
"C"|No |Yes|"Clay"|"65682808"|"132365457"
"CL"|No |No |"Clay loam"|"65682808"|"132365456"
"FSL"|No |Yes|"Fine sandy loam"|"65682893"|"132365760"
"L"|No |No |"Loam"|"65682893"|"132365759"
"SC"|No |No |"Sandy clay"|"65682845"|"132365583"
"CL"|No |No |"Clay loam"|"65682845"|"132365582"
"MK-SICL"|No |No |"Mucky silty clay loam"|"65682845"|"132365581"
"SICL"|No |Yes|"Silty clay loam"|"65682845"|"132365580"
"C"|No |No |"Clay"|"65682845"|"132365579"
"SIC"|No |No |"Silty clay"|"65682845"|"132365578"
"LS"|No |No |"Loamy sand"|"65682949"|"132365957"
"S"|No |No |"Sand"|"65682949"|"132365958"
"LFS"|No |Yes|"Loamy fine sand"|"65682949"|"132365959"
